spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[30 33 39],30,30,13,46,30,30,8,146,27,27,8,34
[30 33 39 47],30,30,13,46,28,28,6,144,29,29,10,36
[30 33 47],30,30,13,46,39,39,6,155,18,18,10,25
[30 39],30,30,13,46,32,32,9,148,25,25,7,32
[30 39 47],30,30,13,46,29,29,6,145,28,28,10,35
[30 47],30,30,13,46,40,40,6,156,17,17,10,24
[33],30,30,13,46,47,41,8,164,10,16,8,16
[33 39],30,30,13,46,36,30,8,153,21,27,8,27
[33 39 47],30,30,13,46,34,28,6,151,23,29,10,29
[33 47],30,30,13,46,45,39,6,162,12,18,10,18
[39],30,30,13,46,46,46,16,169,11,11,0,11
[39 47],30,30,13,46,36,36,6,159,21,21,10,21
[47],30,30,13,46,47,47,6,170,10,10,10,10
,30,30,13,46,6000,5840,1456,21776,,,,
,30,30,13,46,,,,,,,,
,30,30,13,46,,,,,,,,
spark_connected_component 3,30,30,13,46,,,,,,,,
toCache,30,30,13,46, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[],30,30,13,46,89,89,19,632,0,0,0,0
[3],30,30,13,46,73,73,15,424,16,16,4,208
[3 12],30,30,13,46,57,57,11,272,32,32,8,360
[3 12 16],30,30,13,46,53,53,10,234,36,36,9,398
[3 12 16 26],30,30,13,46,38,38,10,164,51,51,9,468
[3 12 16 26 30],30,30,13,46,32,32,8,144,57,57,11,488
[3 12 16 26 30 33],30,30,13,46,29,29,7,137,60,60,12,495
[3 12 16 26 30 33 39],30,30,13,46,25,25,7,129,64,64,12,503
[3 12 16 26 30 33 39 47],30,30,13,46,21,21,5,123,68,68,14,509
[3 12 16 26 30 33 39 47 50],30,30,13,46,19,19,4,121,70,70,15,511
[3 12 16 26 30 33 39 47 50 56],30,30,13,46,17,17,4,119,72,72,15,513
[3 12 16 26 30 33 39 47 50 56 64],30,30,13,46,15,15,2,117,74,74,17,515
[3 12 16 26 30 33 39 47 50 64],30,30,13,46,17,17,2,119,72,72,17,513
[3 12 16 26 30 33 39 47 56],30,30,13,46,19,19,5,121,70,70,14,511
[3 12 16 26 30 33 39 47 56 64],30,30,13,46,16,16,2,118,73,73,17,514
[3 12 16 26 30 33 39 47 64],30,30,13,46,18,18,2,120,71,71,17,512
[3 12 16 26 30 33 39 50],30,30,13,46,20,19,4,123,69,70,15,509
[3 12 16 26 30 33 39 50 56],30,30,13,46,18,17,4,121,71,72,15,511
[3 12 16 26 30 33 39 50 56 64],30,30,13,46,16,15,2,119,73,74,17,513
[3 12 16 26 30 33 39 50 64],30,30,13,46,18,17,2,121,71,72,17,511
[3 12 16 26 30 33 39 56],30,30,13,46,23,23,7,127,66,66,12,505
[3 12 16 26 30 33 39 56 64],30,30,13,46,18,18,2,122,71,71,17,510
[3 12 16 26 30 33 39 64],30,30,13,46,20,20,2,124,69,69,17,508
[3 12 16 26 30 33 47],30,30,13,46,25,25,5,131,64,64,14,501
[3 12 16 26 30 33 47 50],30,30,13,46,23,23,4,129,66,66,15,503
[3 12 16 26 30 33 47 50 56],30,30,13,46,19,19,4,125,70,70,15,507
[3 12 16 26 30 33 47 50 56 64],30,30,13,46,17,17,2,123,72,72,17,509
[3 12 16 26 30 33 47 50 64],30,30,13,46,21,21,2,127,68,68,17,505
[3 12 16 26 30 33 47 56],30,30,13,46,21,21,5,127,68,68,14,505
[3 12 16 26 30 33 47 56 64],30,30,13,46,18,18,2,124,71,71,17,508
[3 12 16 26 30 33 47 64],30,30,13,46,22,22,2,128,67,67,17,504
[3 12 16 26 30 33 50],30,30,13,46,24,23,4,131,65,66,15,501
[3 12 16 26 30 33 50 56],30,30,13,46,20,19,4,127,69,70,15,505
[3 12 16 26 30 33 50 56 64],30,30,13,46,18,17,2,125,71,72,17,507
[3 12 16 26 30 33 50 64],30,30,13,46,22,21,2,129,67,68,17,503
[3 12 16 26 30 33 56],30,30,13,46,25,25,7,133,64,64,12,499
[3 12 16 26 30 33 56 64],30,30,13,46,20,20,2,128,69,69,17,504
[3 12 16 26 30 33 64],30,30,13,46,24,24,2,132,65,65,17,500
[3 12 16 26 30 39],30,30,13,46,28,28,8,136,61,61,11,496
[3 12 16 26 30 39 47],30,30,13,46,22,22,5,127,67,67,14,505
