spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 12 16 26 33 47 56],30,30,13,46,22,21,5,133,67,68,14,499
[3 12 16 26 33 47 56 64],30,30,13,46,19,18,2,130,70,71,17,502
[3 12 16 26 33 47 64],30,30,13,46,23,22,2,134,66,67,17,498
[3 12 16 26 33 50],30,30,13,46,25,23,4,137,64,66,15,495
[3 12 16 26 33 50 56],30,30,13,46,21,19,4,133,68,70,15,499
[3 12 16 26 33 50 56 64],30,30,13,46,19,17,2,131,70,72,17,501
[3 12 16 26 33 50 64],30,30,13,46,23,21,2,135,66,68,17,497
[3 12 16 26 33 56],30,30,13,46,26,25,7,139,63,64,12,493
[3 12 16 26 33 56 64],30,30,13,46,21,20,2,134,68,69,17,498
[3 12 16 26 33 64],30,30,13,46,25,24,2,138,64,65,17,494
[3 12 16 26 39],30,30,13,46,34,34,10,156,55,55,9,476
[3 12 16 26 39 47],30,30,13,46,24,24,5,141,65,65,14,491
[3 12 16 26 39 47 50],30,30,13,46,22,22,4,139,67,67,15,493
[3 12 16 26 39 47 50 56],30,30,13,46,20,20,4,137,69,69,15,495
[3 12 16 26 39 47 50 56 64],30,30,13,46,18,18,2,135,71,71,17,497
[3 12 16 26 39 47 50 64],30,30,13,46,20,20,2,137,69,69,17,495
[3 12 16 26 39 47 56],30,30,13,46,22,22,5,139,67,67,14,493
[3 12 16 26 39 47 56 64],30,30,13,46,19,19,2,136,70,70,17,496
[3 12 16 26 39 47 64],30,30,13,46,21,21,2,138,68,68,17,494
[3 12 16 26 39 50],30,30,13,46,26,22,4,144,63,67,15,488
[3 12 16 26 39 50 56],30,30,13,46,24,20,4,142,65,69,15,490
[3 12 16 26 39 50 56 64],30,30,13,46,22,18,2,140,67,71,17,492
[3 12 16 26 39 50 64],30,30,13,46,24,20,2,142,65,69,17,490
[3 12 16 26 39 56],30,30,13,46,32,32,10,154,57,57,9,478
[3 12 16 26 39 56 64],30,30,13,46,24,24,2,146,65,65,17,486
[3 12 16 26 39 64],30,30,13,46,26,26,2,148,63,63,17,484
[3 12 16 26 47],30,30,13,46,28,28,5,149,61,61,14,483
[3 12 16 26 47 50],30,30,13,46,26,26,4,147,63,63,15,485
[3 12 16 26 47 50 56],30,30,13,46,22,22,4,143,67,67,15,489
[3 12 16 26 47 50 56 64],30,30,13,46,20,20,2,141,69,69,17,491
[3 12 16 26 47 50 64],30,30,13,46,24,24,2,145,65,65,17,487
[3 12 16 26 47 56],30,30,13,46,24,24,5,145,65,65,14,487
[3 12 16 26 47 56 64],30,30,13,46,21,21,2,142,68,68,17,490
[3 12 16 26 47 64],30,30,13,46,25,25,2,146,64,64,17,486
[3 12 16 26 50],30,30,13,46,30,26,4,152,59,63,15,480
[3 12 16 26 50 56],30,30,13,46,26,22,4,148,63,67,15,484
[3 12 16 26 50 56 64],30,30,13,46,24,20,2,146,65,69,17,486
[3 12 16 26 50 64],30,30,13,46,28,24,2,150,61,65,17,482
[3 12 16 26 56],30,30,13,46,34,34,10,160,55,55,9,472
[3 12 16 26 56 64],30,30,13,46,26,26,2,152,63,63,17,480
[3 12 16 26 64],30,30,13,46,30,30,2,156,59,59,17,476
[3 12 16 30],30,30,13,46,47,47,8,214,42,42,11,418
[3 12 16 30 33],30,30,13,46,44,44,7,207,45,45,12,425
[3 12 16 30 33 39],30,30,13,46,30,30,7,179,59,59,12,453
[3 12 16 30 33 39 47],30,30,13,46,26,26,5,173,63,63,14,459
[3 12 16 30 33 39 47 50],30,30,13,46,24,24,4,171,65,65,15,461
[3 12 16 30 33 39 47 50 56],30,30,13,46,22,22,4,169,67,67,15,463
[3 12 16 30 33 39 47 50 56 64],30,30,13,46,20,20,2,167,69,69,17,465
[3 12 16 30 33 39 47 50 64],30,30,13,46,22,22,2,169,67,67,17,463
[3 12 16 30 33 39 47 56],30,30,13,46,24,24,5,171,65,65,14,461
[3 12 16 30 33 39 47 56 64],30,30,13,46,21,21,2,168,68,68,17,464
[3 12 16 30 33 39 47 64],30,30,13,46,23,23,2,170,66,66,17,462
[3 12 16 30 33 39 50],30,30,13,46,25,24,4,173,64,65,15,459
[3 12 16 30 33 39 50 56],30,30,13,46,23,22,4,171,66,67,15,461
[3 12 16 30 33 39 50 56 64],30,30,13,46,21,20,2,169,68,69,17,463
[3 12 16 30 33 39 50 64],30,30,13,46,23,22,2,171,66,67,17,461
[3 12 16 30 33 39 56],30,30,13,46,28,28,7,177,61,61,12,455
[3 12 16 30 33 39 56 64],30,30,13,46,23,23,2,172,66,66,17,460
[3 12 16 30 33 39 64],30,30,13,46,25,25,2,174,64,64,17,458
[3 12 16 30 33 47],30,30,13,46,40,40,5,201,49,49,14,431
[3 12 16 30 33 47 50],30,30,13,46,38,38,4,199,51,51,15,433
[3 12 16 30 33 47 50 56],30,30,13,46,29,29,4,190,60,60,15,442
[3 12 16 30 33 47 50 56 64],30,30,13,46,27,27,2,188,62,62,17,444
[3 12 16 30 33 47 50 64],30,30,13,46,36,36,2,197,53,53,17,435
[3 12 16 30 33 47 56],30,30,13,46,31,31,5,192,58,58,14,440
[3 12 16 30 33 47 56 64],30,30,13,46,28,28,2,189,61,61,17,443
[3 12 16 30 33 47 64],30,30,13,46,37,37,2,198,52,52,17,434
[3 12 16 30 33 50],30,30,13,46,39,38,4,201,50,51,15,431
[3 12 16 30 33 50 56],30,30,13,46,30,29,4,192,59,60,15,440
[3 12 16 30 33 50 56 64],30,30,13,46,28,27,2,190,61,62,17,442
[3 12 16 30 33 50 64],30,30,13,46,37,36,2,199,52,53,17,433
[3 12 16 30 33 56],30,30,13,46,35,35,7,198,54,54,12,434
[3 12 16 30 33 56 64],30,30,13,46,30,30,2,193,59,59,17,439
[3 12 16 30 33 64],30,30,13,46,39,39,2,202,50,50,17,430
[3 12 16 30 39],30,30,13,46,33,33,8,186,56,56,11,446
[3 12 16 30 39 47],30,30,13,46,27,27,5,177,62,62,14,455
[3 12 16 30 39 47 50],30,30,13,46,25,25,4,175,64,64,15,457
[3 12 16 30 39 47 50 56],30,30,13,46,23,23,4,173,66,66,15,459
[3 12 16 30 39 47 50 56 64],30,30,13,46,21,21,2,171,68,68,17,461
[3 12 16 30 39 47 50 64],30,30,13,46,23,23,2,173,66,66,17,459
[3 12 16 30 39 47 56],30,30,13,46,25,25,5,175,64,64,14,457
[3 12 16 30 39 47 56 64],30,30,13,46,22,22,2,172,67,67,17,460
[3 12 16 30 39 47 64],30,30,13,46,24,24,2,174,65,65,17,458
[3 12 16 30 39 50],30,30,13,46,27,25,4,178,62,64,15,454
[3 12 16 30 39 50 56],30,30,13,46,25,23,4,176,64,66,15,456
[3 12 16 30 39 50 56 64],30,30,13,46,23,21,2,174,66,68,17,458
[3 12 16 30 39 50 64],30,30,13,46,25,23,2,176,64,66,17,456
[3 12 16 30 39 56],30,30,13,46,31,31,8,184,58,58,11,448
[3 12 16 30 39 56 64],30,30,13,46,25,25,2,178,64,64,17,454
[3 12 16 30 39 64],30,30,13,46,27,27,2,180,62,62,17,452
[3 12 16 30 47],30,30,13,46,41,41,5,205,48,48,14,427
[3 12 16 30 47 50],30,30,13,46,39,39,4,203,50,50,15,429
[3 12 16 30 47 50 56],30,30,13,46,30,30,4,194,59,59,15,438
[3 12 16 30 47 50 56 64],30,30,13,46,28,28,2,192,61,61,17,440
[3 12 16 30 47 50 64],30,30,13,46,37,37,2,201,52,52,17,431
[3 12 16 30 47 56],30,30,13,46,32,32,5,196,57,57,14,436
[3 12 16 30 47 56 64],30,30,13,46,29,29,2,193,60,60,17,439
[3 12 16 30 47 64],30,30,13,46,38,38,2,202,51,51,17,430
[3 12 16 30 50],30,30,13,46,41,39,4,206,48,50,15,426
[3 12 16 30 50 56],30,30,13,46,32,30,4,197,57,59,15,435
[3 12 16 30 50 56 64],30,30,13,46,30,28,2,195,59,61,17,437
[3 12 16 30 50 64],30,30,13,46,39,37,2,204,50,52,17,428
[3 12 16 30 56],30,30,13,46,38,38,8,205,51,51,11,427
[3 12 16 30 56 64],30,30,13,46,32,32,2,199,57,57,17,433
[3 12 16 30 64],30,30,13,46,41,41,2,208,48,48,17,424
[3 12 16 33],30,30,13,46,45,44,7,213,44,45,12,419
[3 12 16 33 39],30,30,13,46,31,30,7,185,58,59,12,447
[3 12 16 33 39 47],30,30,13,46,27,26,5,179,62,63,14,453
[3 12 16 33 39 47 50],30,30,13,46,25,24,4,177,64,65,15,455
[3 12 16 33 39 47 50 56],30,30,13,46,23,22,4,175,66,67,15,457
[3 12 16 33 39 47 50 56 64],30,30,13,46,21,20,2,173,68,69,17,459
[3 12 16 33 39 47 50 64],30,30,13,46,23,22,2,175,66,67,17,457
[3 12 16 33 39 47 56],30,30,13,46,25,24,5,177,64,65,14,455
[3 12 16 33 39 47 56 64],30,30,13,46,22,21,2,174,67,68,17,458
[3 12 16 33 39 47 64],30,30,13,46,24,23,2,176,65,66,17,456
[3 12 16 33 39 50],30,30,13,46,26,24,4,179,63,65,15,453
[3 12 16 33 39 50 56],30,30,13,46,24,22,4,177,65,67,15,455
[3 12 16 33 39 50 56 64],30,30,13,46,22,20,2,175,67,69,17,457
[3 12 16 33 39 50 64],30,30,13,46,24,22,2,177,65,67,17,455
[3 12 16 33 39 56],30,30,13,46,29,28,7,183,60,61,12,449
[3 12 16 33 39 56 64],30,30,13,46,24,23,2,178,65,66,17,454
[3 12 16 33 39 64],30,30,13,46,26,25,2,180,63,64,17,452
[3 12 16 33 47],30,30,13,46,41,40,5,207,48,49,14,425
[3 12 16 33 47 50],30,30,13,46,39,38,4,205,50,51,15,427
[3 12 16 33 47 50 56],30,30,13,46,30,29,4,196,59,60,15,436
[3 12 16 33 47 50 56 64],30,30,13,46,28,27,2,194,61,62,17,438
[3 12 16 33 47 50 64],30,30,13,46,37,36,2,203,52,53,17,429
[3 12 16 33 47 56],30,30,13,46,32,31,5,198,57,58,14,434
[3 12 16 33 47 56 64],30,30,13,46,29,28,2,195,60,61,17,437
[3 12 16 33 47 64],30,30,13,46,38,37,2,204,51,52,17,428
[3 12 16 33 50],30,30,13,46,40,38,4,207,49,51,15,425
[3 12 16 33 50 56],30,30,13,46,31,29,4,198,58,60,15,434
[3 12 16 33 50 56 64],30,30,13,46,29,27,2,196,60,62,17,436
[3 12 16 33 50 64],30,30,13,46,38,36,2,205,51,53,17,427
[3 12 16 33 56],30,30,13,46,36,35,7,204,53,54,12,428
[3 12 16 33 56 64],30,30,13,46,31,30,2,199,58,59,17,433
[3 12 16 33 64],30,30,13,46,40,39,2,208,49,50,17,424
[3 12 16 39],30,30,13,46,39,39,10,206,50,50,9,426
[3 12 16 39 47],30,30,13,46,29,29,5,191,60,60,14,441
[3 12 16 39 47 50],30,30,13,46,27,27,4,189,62,62,15,443
[3 12 16 39 47 50 56],30,30,13,46,25,25,4,187,64,64,15,445
[3 12 16 39 47 50 56 64],30,30,13,46,23,23,2,185,66,66,17,447
[3 12 16 39 47 50 64],30,30,13,46,25,25,2,187,64,64,17,445
[3 12 16 39 47 56],30,30,13,46,27,27,5,189,62,62,14,443
[3 12 16 39 47 56 64],30,30,13,46,24,24,2,186,65,65,17,446
[3 12 16 39 47 64],30,30,13,46,26,26,2,188,63,63,17,444
[3 12 16 39 50],30,30,13,46,31,27,4,194,58,62,15,438
[3 12 16 39 50 56],30,30,13,46,29,25,4,192,60,64,15,440
[3 12 16 39 50 56 64],30,30,13,46,27,23,2,190,62,66,17,442
[3 12 16 39 50 64],30,30,13,46,29,25,2,192,60,64,17,440
[3 12 16 39 56],30,30,13,46,37,37,10,204,52,52,9,428
[3 12 16 39 56 64],30,30,13,46,29,29,2,196,60,60,17,436
[3 12 16 39 64],30,30,13,46,31,31,2,198,58,58,17,434
[3 12 16 47],30,30,13,46,43,43,5,219,46,46,14,413
[3 12 16 47 50],30,30,13,46,41,41,4,217,48,48,15,415
[3 12 16 47 50 56],30,30,13,46,32,32,4,208,57,57,15,424
[3 12 16 47 50 56 64],30,30,13,46,30,30,2,206,59,59,17,426
[3 12 16 47 50 64],30,30,13,46,39,39,2,215,50,50,17,417
[3 12 16 47 56],30,30,13,46,34,34,5,210,55,55,14,422
[3 12 16 47 56 64],30,30,13,46,31,31,2,207,58,58,17,425
[3 12 16 47 64],30,30,13,46,40,40,2,216,49,49,17,416
[3 12 16 50],30,30,13,46,45,41,4,222,44,48,15,410
[3 12 16 50 56],30,30,13,46,36,32,4,213,53,57,15,419
[3 12 16 50 56 64],30,30,13,46,34,30,2,211,55,59,17,421
[3 12 16 50 64],30,30,13,46,43,39,2,220,46,50,17,412
[3 12 16 56],30,30,13,46,44,44,10,225,45,45,9,407
[3 12 16 56 64],30,30,13,46,36,36,2,217,53,53,17,415
[3 12 16 64],30,30,13,46,45,45,2,226,44,44,17,406
[3 12 26],30,30,13,46,42,42,11,202,47,47,8,430
[3 12 26 30],30,30,13,46,33,33,8,172,56,56,11,460
[3 12 26 30 33],30,30,13,46,30,30,7,165,59,59,12,467
[3 12 26 30 33 39],30,30,13,46,26,26,7,157,63,63,12,475
[3 12 26 30 33 39 47],30,30,13,46,22,22,5,151,67,67,14,481
[3 12 26 30 33 39 47 50],30,30,13,46,20,20,4,149,69,69,15,483
[3 12 26 30 33 39 47 50 56],30,30,13,46,18,18,4,147,71,71,15,485
[3 12 26 30 33 39 47 50 56 64],30,30,13,46,16,16,2,145,73,73,17,487
[3 12 26 30 33 39 47 50 64],30,30,13,46,18,18,2,147,71,71,17,485
[3 12 26 30 33 39 47 56],30,30,13,46,20,20,5,149,69,69,14,483
[3 12 26 30 33 39 47 56 64],30,30,13,46,17,17,2,146,72,72,17,486
[3 12 26 30 33 39 47 64],30,30,13,46,19,19,2,148,70,70,17,484
[3 12 26 30 33 39 50],30,30,13,46,21,20,4,151,68,69,15,481
[3 12 26 30 33 39 50 56],30,30,13,46,19,18,4,149,70,71,15,483
[3 12 26 30 33 39 50 56 64],30,30,13,46,17,16,2,147,72,73,17,485
[3 12 26 30 33 39 50 64],30,30,13,46,19,18,2,149,70,71,17,483
[3 12 26 30 33 39 56],30,30,13,46,24,24,7,155,65,65,12,477
[3 12 26 30 33 39 56 64],30,30,13,46,19,19,2,150,70,70,17,482
[3 12 26 30 33 39 64],30,30,13,46,21,21,2,152,68,68,17,480
[3 12 26 30 33 47],30,30,13,46,26,26,5,159,63,63,14,473
[3 12 26 30 33 47 50],30,30,13,46,24,24,4,157,65,65,15,475
[3 12 26 30 33 47 50 56],30,30,13,46,20,20,4,153,69,69,15,479
[3 12 26 30 33 47 50 56 64],30,30,13,46,18,18,2,151,71,71,17,481
[3 12 26 30 33 47 50 64],30,30,13,46,22,22,2,155,67,67,17,477
[3 12 26 30 33 47 56],30,30,13,46,22,22,5,155,67,67,14,477
[3 12 26 30 33 47 56 64],30,30,13,46,19,19,2,152,70,70,17,480
[3 12 26 30 33 47 64],30,30,13,46,23,23,2,156,66,66,17,476
[3 12 26 30 33 50],30,30,13,46,25,24,4,159,64,65,15,473
[3 12 26 30 33 50 56],30,30,13,46,21,20,4,155,68,69,15,477
[3 12 26 30 33 50 56 64],30,30,13,46,19,18,2,153,70,71,17,479
[3 12 26 30 33 50 64],30,30,13,46,23,22,2,157,66,67,17,475
[3 12 26 30 33 56],30,30,13,46,26,26,7,161,63,63,12,471
[3 12 26 30 33 56 64],30,30,13,46,21,21,2,156,68,68,17,476
[3 12 26 30 33 64],30,30,13,46,25,25,2,160,64,64,17,472
[3 12 26 30 39],30,30,13,46,29,29,8,164,60,60,11,468
[3 12 26 30 39 47],30,30,13,46,23,23,5,155,66,66,14,477
[3 12 26 30 39 47 50],30,30,13,46,21,21,4,153,68,68,15,479
[3 12 26 30 39 47 50 56],30,30,13,46,19,19,4,151,70,70,15,481
[3 12 26 30 39 47 50 56 64],30,30,13,46,17,17,2,149,72,72,17,483
[3 12 26 30 39 47 50 64],30,30,13,46,19,19,2,151,70,70,17,481
[3 12 26 30 39 47 56],30,30,13,46,21,21,5,153,68,68,14,479
[3 12 26 30 39 47 56 64],30,30,13,46,18,18,2,150,71,71,17,482
[3 12 26 30 39 47 64],30,30,13,46,20,20,2,152,69,69,17,480
[3 12 26 30 39 50],30,30,13,46,23,21,4,156,66,68,15,476
[3 12 26 30 39 50 56],30,30,13,46,21,19,4,154,68,70,15,478
[3 12 26 30 39 50 56 64],30,30,13,46,19,17,2,152,70,72,17,480
[3 12 26 30 39 50 64],30,30,13,46,21,19,2,154,68,70,17,478
[3 12 26 30 39 56],30,30,13,46,27,27,8,162,62,62,11,470
[3 12 26 30 39 56 64],30,30,13,46,21,21,2,156,68,68,17,476
[3 12 26 30 39 64],30,30,13,46,23,23,2,158,66,66,17,474
[3 12 26 30 47],30,30,13,46,27,27,5,163,62,62,14,469
[3 12 26 30 47 50],30,30,13,46,25,25,4,161,64,64,15,471
[3 12 26 30 47 50 56],30,30,13,46,21,21,4,157,68,68,15,475
[3 12 26 30 47 50 56 64],30,30,13,46,19,19,2,155,70,70,17,477
[3 12 26 30 47 50 64],30,30,13,46,23,23,2,159,66,66,17,473
[3 12 26 30 47 56],30,30,13,46,23,23,5,159,66,66,14,473
[3 12 26 30 47 56 64],30,30,13,46,20,20,2,156,69,69,17,476
[3 12 26 30 47 64],30,30,13,46,24,24,2,160,65,65,17,472
[3 12 26 30 50],30,30,13,46,27,25,4,164,62,64,15,468
[3 12 26 30 50 56],30,30,13,46,23,21,4,160,66,68,15,472
[3 12 26 30 50 56 64],30,30,13,46,21,19,2,158,68,70,17,474
[3 12 26 30 50 64],30,30,13,46,25,23,2,162,64,66,17,470
[3 12 26 30 56],30,30,13,46,29,29,8,168,60,60,11,464
[3 12 26 30 56 64],30,30,13,46,23,23,2,162,66,66,17,470
[3 12 26 30 64],30,30,13,46,27,27,2,166,62,62,17,466
[3 12 26 33],30,30,13,46,32,30,7,174,57,59,12,458
[3 12 26 33 39],30,30,13,46,28,26,7,166,61,63,12,466
[3 12 26 33 39 47],30,30,13,46,24,22,5,160,65,67,14,472
[3 12 26 33 39 47 50],30,30,13,46,22,20,4,158,67,69,15,474
[3 12 26 33 39 47 50 56],30,30,13,46,20,18,4,156,69,71,15,476
[3 12 26 33 39 47 50 56 64],30,30,13,46,18,16,2,154,71,73,17,478
[3 12 26 33 39 47 50 64],30,30,13,46,20,18,2,156,69,71,17,476
[3 12 26 33 39 47 56],30,30,13,46,22,20,5,158,67,69,14,474
[3 12 26 33 39 47 56 64],30,30,13,46,19,17,2,155,70,72,17,477
[3 12 26 33 39 47 64],30,30,13,46,21,19,2,157,68,70,17,475
[3 12 26 33 39 50],30,30,13,46,23,20,4,160,66,69,15,472
[3 12 26 33 39 50 56],30,30,13,46,21,18,4,158,68,71,15,474
[3 12 26 33 39 50 56 64],30,30,13,46,19,16,2,156,70,73,17,476
[3 12 26 33 39 50 64],30,30,13,46,21,18,2,158,68,71,17,474
[3 12 26 33 39 56],30,30,13,46,26,24,7,164,63,65,12,468
[3 12 26 33 39 56 64],30,30,13,46,21,19,2,159,68,70,17,473
[3 12 26 33 39 64],30,30,13,46,23,21,2,161,66,68,17,471
[3 12 26 33 47],30,30,13,46,28,26,5,168,61,63,14,464
[3 12 26 33 47 50],30,30,13,46,26,24,4,166,63,65,15,466
[3 12 26 33 47 50 56],30,30,13,46,22,20,4,162,67,69,15,470
[3 12 26 33 47 50 56 64],30,30,13,46,20,18,2,160,69,71,17,472
[3 12 26 33 47 50 64],30,30,13,46,24,22,2,164,65,67,17,468
[3 12 26 33 47 56],30,30,13,46,24,22,5,164,65,67,14,468
[3 12 26 33 47 56 64],30,30,13,46,21,19,2,161,68,70,17,471
[3 12 26 33 47 64],30,30,13,46,25,23,2,165,64,66,17,467
[3 12 26 33 50],30,30,13,46,27,24,4,168,62,65,15,464
[3 12 26 33 50 56],30,30,13,46,23,20,4,164,66,69,15,468
[3 12 26 33 50 56 64],30,30,13,46,21,18,2,162,68,71,17,470
[3 12 26 33 50 64],30,30,13,46,25,22,2,166,64,67,17,466
[3 12 26 33 56],30,30,13,46,28,26,7,170,61,63,12,462
[3 12 26 33 56 64],30,30,13,46,23,21,2,165,66,68,17,467
[3 12 26 33 64],30,30,13,46,27,25,2,169,62,64,17,463
[3 12 26 39],30,30,13,46,38,38,11,194,51,51,8,438
[3 12 26 39 47],30,30,13,46,26,26,5,176,63,63,14,456
[3 12 26 39 47 50],30,30,13,46,24,24,4,174,65,65,15,458
[3 12 26 39 47 50 56],30,30,13,46,22,22,4,172,67,67,15,460
[3 12 26 39 47 50 56 64],30,30,13,46,20,20,2,170,69,69,17,462
[3 12 26 39 47 50 64],30,30,13,46,22,22,2,172,67,67,17,460
[3 12 26 39 47 56],30,30,13,46,24,24,5,174,65,65,14,458
[3 12 26 39 47 56 64],30,30,13,46,21,21,2,171,68,68,17,461
[3 12 26 39 47 64],30,30,13,46,23,23,2,173,66,66,17,459
[3 12 26 39 50],30,30,13,46,29,24,4,180,60,65,15,452
[3 12 26 39 50 56],30,30,13,46,27,22,4,178,62,67,15,454
[3 12 26 39 50 56 64],30,30,13,46,25,20,2,176,64,69,17,456
[3 12 26 39 50 64],30,30,13,46,27,22,2,178,62,67,17,454
[3 12 26 39 56],30,30,13,46,36,36,11,192,53,53,8,440
[3 12 26 39 56 64],30,30,13,46,27,27,2,183,62,62,17,449
[3 12 26 39 64],30,30,13,46,29,29,2,185,60,60,17,447
[3 12 26 47],30,30,13,46,30,30,5,184,59,59,14,448
[3 12 26 47 50],30,30,13,46,28,28,4,182,61,61,15,450
[3 12 26 47 50 56],30,30,13,46,24,24,4,178,65,65,15,454
[3 12 26 47 50 56 64],30,30,13,46,22,22,2,176,67,67,17,456
[3 12 26 47 50 64],30,30,13,46,26,26,2,180,63,63,17,452
[3 12 26 47 56],30,30,13,46,26,26,5,180,63,63,14,452
[3 12 26 47 56 64],30,30,13,46,23,23,2,177,66,66,17,455
[3 12 26 47 64],30,30,13,46,27,27,2,181,62,62,17,451
[3 12 26 50],30,30,13,46,33,28,4,188,56,61,15,444
[3 12 26 50 56],30,30,13,46,29,24,4,184,60,65,15,448
[3 12 26 50 56 64],30,30,13,46,27,22,2,182,62,67,17,450
[3 12 26 50 64],30,30,13,46,31,26,2,186,58,63,17,446
[3 12 26 56],30,30,13,46,38,38,11,198,51,51,8,434
[3 12 26 56 64],30,30,13,46,29,29,2,189,60,60,17,443
[3 12 26 64],30,30,13,46,33,33,2,193,56,56,17,439
[3 12 30],30,30,13,46,48,48,8,242,41,41,11,390
[3 12 30 33],30,30,13,46,45,45,7,235,44,44,12,397
[3 12 30 33 39],30,30,13,46,31,31,7,207,58,58,12,425
[3 12 30 33 39 47],30,30,13,46,27,27,5,201,62,62,14,431
[3 12 30 33 39 47 50],30,30,13,46,25,25,4,199,64,64,15,433
[3 12 30 33 39 47 50 56],30,30,13,46,23,23,4,197,66,66,15,435
[3 12 30 33 39 47 50 56 64],30,30,13,46,21,21,2,195,68,68,17,437
[3 12 30 33 39 47 50 64],30,30,13,46,23,23,2,197,66,66,17,435
[3 12 30 33 39 47 56],30,30,13,46,25,25,5,199,64,64,14,433
[3 12 30 33 39 47 56 64],30,30,13,46,22,22,2,196,67,67,17,436
[3 12 30 33 39 47 64],30,30,13,46,24,24,2,198,65,65,17,434
[3 12 30 33 39 50],30,30,13,46,26,25,4,201,63,64,15,431
[3 12 30 33 39 50 56],30,30,13,46,24,23,4,199,65,66,15,433
[3 12 30 33 39 50 56 64],30,30,13,46,22,21,2,197,67,68,17,435
[3 12 30 33 39 50 64],30,30,13,46,24,23,2,199,65,66,17,433
[3 12 30 33 39 56],30,30,13,46,29,29,7,205,60,60,12,427
[3 12 30 33 39 56 64],30,30,13,46,24,24,2,200,65,65,17,432
[3 12 30 33 39 64],30,30,13,46,26,26,2,202,63,63,17,430
[3 12 30 33 47],30,30,13,46,41,41,5,229,48,48,14,403
[3 12 30 33 47 50],30,30,13,46,39,39,4,227,50,50,15,405
[3 12 30 33 47 50 56],30,30,13,46,30,30,4,218,59,59,15,414
[3 12 30 33 47 50 56 64],30,30,13,46,28,28,2,216,61,61,17,416
[3 12 30 33 47 50 64],30,30,13,46,37,37,2,225,52,52,17,407
[3 12 30 33 47 56],30,30,13,46,32,32,5,220,57,57,14,412
[3 12 30 33 47 56 64],30,30,13,46,29,29,2,217,60,60,17,415
[3 12 30 33 47 64],30,30,13,46,38,38,2,226,51,51,17,406
[3 12 30 33 50],30,30,13,46,40,39,4,229,49,50,15,403
[3 12 30 33 50 56],30,30,13,46,31,30,4,220,58,59,15,412
[3 12 30 33 50 56 64],30,30,13,46,29,28,2,218,60,61,17,414
[3 12 30 33 50 64],30,30,13,46,38,37,2,227,51,52,17,405
[3 12 30 33 56],30,30,13,46,36,36,7,226,53,53,12,406
[3 12 30 33 56 64],30,30,13,46,31,31,2,221,58,58,17,411
[3 12 30 33 64],30,30,13,46,40,40,2,230,49,49,17,402
[3 12 30 39],30,30,13,46,34,34,8,214,55,55,11,418
[3 12 30 39 47],30,30,13,46,28,28,5,205,61,61,14,427
[3 12 30 39 47 50],30,30,13,46,26,26,4,203,63,63,15,429
[3 12 30 39 47 50 56],30,30,13,46,24,24,4,201,65,65,15,431
[3 12 30 39 47 50 56 64],30,30,13,46,22,22,2,199,67,67,17,433
[3 12 30 39 47 50 64],30,30,13,46,24,24,2,201,65,65,17,431
[3 12 30 39 47 56],30,30,13,46,26,26,5,203,63,63,14,429
[3 12 30 39 47 56 64],30,30,13,46,23,23,2,200,66,66,17,432
[3 12 30 39 47 64],30,30,13,46,25,25,2,202,64,64,17,430
[3 12 30 39 50],30,30,13,46,28,26,4,206,61,63,15,426
[3 12 30 39 50 56],30,30,13,46,26,24,4,204,63,65,15,428
[3 12 30 39 50 56 64],30,30,13,46,24,22,2,202,65,67,17,430
[3 12 30 39 50 64],30,30,13,46,26,24,2,204,63,65,17,428
[3 12 30 39 56],30,30,13,46,32,32,8,212,57,57,11,420
[3 12 30 39 56 64],30,30,13,46,26,26,2,206,63,63,17,426
[3 12 30 39 64],30,30,13,46,28,28,2,208,61,61,17,424
[3 12 30 47],30,30,13,46,42,42,5,233,47,47,14,399
[3 12 30 47 50],30,30,13,46,40,40,4,231,49,49,15,401
[3 12 30 47 50 56],30,30,13,46,31,31,4,222,58,58,15,410
[3 12 30 47 50 56 64],30,30,13,46,29,29,2,220,60,60,17,412
[3 12 30 47 50 64],30,30,13,46,38,38,2,229,51,51,17,403
[3 12 30 47 56],30,30,13,46,33,33,5,224,56,56,14,408
[3 12 30 47 56 64],30,30,13,46,30,30,2,221,59,59,17,411
[3 12 30 47 64],30,30,13,46,39,39,2,230,50,50,17,402
[3 12 30 50],30,30,13,46,42,40,4,234,47,49,15,398
[3 12 30 50 56],30,30,13,46,33,31,4,225,56,58,15,407
[3 12 30 50 56 64],30,30,13,46,31,29,2,223,58,60,17,409
[3 12 30 50 64],30,30,13,46,40,38,2,232,49,51,17,400
[3 12 30 56],30,30,13,46,39,39,8,233,50,50,11,399
[3 12 30 56 64],30,30,13,46,33,33,2,227,56,56,17,405
[3 12 30 64],30,30,13,46,42,42,2,236,47,47,17,396
[3 12 33],30,30,13,46,47,45,7,244,42,44,12,388
[3 12 33 39],30,30,13,46,33,31,7,216,56,58,12,416
[3 12 33 39 47],30,30,13,46,29,27,5,210,60,62,14,422
[3 12 33 39 47 50],30,30,13,46,27,25,4,208,62,64,15,424
[3 12 33 39 47 50 56],30,30,13,46,25,23,4,206,64,66,15,426
[3 12 33 39 47 50 56 64],30,30,13,46,23,21,2,204,66,68,17,428
[3 12 33 39 47 50 64],30,30,13,46,25,23,2,206,64,66,17,426
